negatives
"frozenset({'Q13546', 'IL5', 'Q96CV9'})"
"frozenset({'P06213', 'Q92913', 'IL5'})"
"frozenset({'P03372', 'P63162', 'IL5'})"
"frozenset({'O76081', 'IL5', 'Q96GS6'})"
"frozenset({'P11498', 'IL5', 'O43542'})"
"frozenset({'P19012', 'IL5', 'O95678'})"
"frozenset({'Q8IZU0', 'Q9H8S9', 'IL5'})"
"frozenset({'Q5T447', 'IL5', 'Q2MKA7'})"
"frozenset({'O14965', 'IL5', 'P26639'})"
"frozenset({'Q9P2W3', 'IL5', 'O95047'})"
"frozenset({'Q9UBK5', 'P16885', 'IL5'})"
"frozenset({'P32121', 'IL5', 'P63151'})"
"frozenset({'IL5', 'Q9NWT6', 'P55273'})"
"frozenset({'P13727', 'IL5', 'P01019'})"
"frozenset({'IL5', 'P14672', 'Q8WVX9'})"
"frozenset({'P51149', 'IL5', 'Q9BV79'})"
"frozenset({'O43504', 'IL5', 'Q9H063'})"
"frozenset({'P40926', 'P02511', 'IL5'})"
"frozenset({'IL5', 'O95990', 'Q6A162'})"
"frozenset({'IL5', 'Q9Y5B9', 'P46736'})"
"frozenset({'IL5', 'P01106', 'Q96EB6'})"
"frozenset({'IL5', 'Q9Y4K3', 'Q9C0K7'})"
"frozenset({'Q96DH6', 'IL5', 'Q13526'})"
"frozenset({'IL5', 'Q16627', 'P32246'})"
"frozenset({'P23511', 'IL5', 'Q9BWT3'})"
"frozenset({'Q9HAU5', 'IL5', 'P54132'})"
"frozenset({'P19838', 'P26651', 'IL5'})"
"frozenset({'Q9UQE7', 'IL5', 'O60271'})"
"frozenset({'Q9H040', 'IL5', 'P58876'})"
"frozenset({'IL5', 'Q8N456', 'Q8N5Z5'})"
"frozenset({'P49703', 'IL5', 'P14314'})"
"frozenset({'Q9NPD3', 'P46783', 'IL5'})"
"frozenset({'IL5', 'Q8N6T7', 'Q9UIM3'})"
"frozenset({'IL5', 'Q92905', 'Q12904'})"
"frozenset({'IL5', 'O75940', 'Q9NR30'})"
"frozenset({'IL5', 'Q9NRR4', 'O60437'})"
"frozenset({'P62140', 'Q8IVT2', 'IL5'})"
"frozenset({'Q96FJ2', 'IL5', 'Q8NEL9'})"
"frozenset({'Q9H553', 'Q9UK41', 'IL5'})"
"frozenset({'O00410', 'IL5', 'Q92844'})"
"frozenset({'Q3KQV3', 'IL5', 'P23508'})"
"frozenset({'IL5', 'Q9BQY4', 'Q8IZ20'})"
"frozenset({'Q5T2D3', 'IL5', 'P60484'})"
"frozenset({'Q7Z3Y7', 'IL5', 'P04264'})"
