negatives
"frozenset({'Q9H2P0', 'Alpha6Beta4Integrin', 'Q9H582'})"
"frozenset({'Alpha6Beta4Integrin', 'P41252', 'P61758'})"
"frozenset({'P59768', 'Alpha6Beta4Integrin', 'P48051'})"
"frozenset({'Q9Y679', 'Alpha6Beta4Integrin', 'Q14008'})"
"frozenset({'Q7KZ85', 'Alpha6Beta4Integrin', 'O95602'})"
"frozenset({'Q9BU76', 'Q96JC9', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96LZ3', 'Q96QB1'})"
"frozenset({'O75330', 'Alpha6Beta4Integrin', 'Q86UX2'})"
"frozenset({'Q96GM1', 'Alpha6Beta4Integrin', 'Q9BUE6'})"
"frozenset({'Q6PL24', 'Alpha6Beta4Integrin', 'Q12893'})"
"frozenset({'O75364', 'Alpha6Beta4Integrin', 'P60709'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92945', 'P09914'})"
"frozenset({'Alpha6Beta4Integrin', 'P46940', 'O15259'})"
"frozenset({'P29622', 'Alpha6Beta4Integrin', 'Q16659'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96D03', 'Q8IYS1'})"
"frozenset({'P38646', 'Alpha6Beta4Integrin', 'Q4VC31'})"
"frozenset({'P25789', 'Alpha6Beta4Integrin', 'P43686'})"
"frozenset({'Q9Y6E7', 'Alpha6Beta4Integrin', 'P11182'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6RFH5', 'Q8WU90'})"
"frozenset({'Q8WYR1', 'O14654', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UIQ6', 'Q04864'})"
"frozenset({'Q14155', 'Q9NQU5', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O75147', 'Q09161'})"
"frozenset({'Q96T60', 'Alpha6Beta4Integrin', 'P63104'})"
"frozenset({'P49450', 'Alpha6Beta4Integrin', 'P16104'})"
"frozenset({'Q96IW2', 'Q9UQ72', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P05129', 'P02545'})"
"frozenset({'Q8WXA8', 'Alpha6Beta4Integrin', 'P46098'})"
"frozenset({'Q9BRK4', 'Alpha6Beta4Integrin', 'Q99469'})"
"frozenset({'Q13310', 'Q15021', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P33991', 'Q9UQL6'})"
"frozenset({'P61960', 'Alpha6Beta4Integrin', 'P50238'})"
"frozenset({'Q8WVN8', 'Alpha6Beta4Integrin', 'P35227'})"
"frozenset({'Q9UKA4', 'Alpha6Beta4Integrin', 'Q13618'})"
"frozenset({'Alpha6Beta4Integrin', 'O60437', 'Q14943'})"
"frozenset({'P63279', 'Alpha6Beta4Integrin', 'Q9BTX1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8TBB1', 'O14744'})"
"frozenset({'Alpha6Beta4Integrin', 'O75146', 'Q13492'})"
"frozenset({'Alpha6Beta4Integrin', 'O43508', 'P35638'})"
"frozenset({'Alpha6Beta4Integrin', 'Q07820', 'P04637'})"
"frozenset({'P61956', 'Alpha6Beta4Integrin', 'P10619'})"
"frozenset({'P21580', 'Alpha6Beta4Integrin', 'P08238'})"
"frozenset({'Q6UX06', 'Alpha6Beta4Integrin', 'Q14112'})"
"frozenset({'P60520', 'Alpha6Beta4Integrin', 'Q66K14'})"
"frozenset({'P21333', 'Q9UQM7', 'Alpha6Beta4Integrin'})"
"frozenset({'P42166', 'Alpha6Beta4Integrin', 'Q9H040'})"
"frozenset({'O43679', 'Alpha6Beta4Integrin', 'Q96NA2'})"
"frozenset({'Q96EZ4', 'Alpha6Beta4Integrin', 'Q15038'})"
"frozenset({'Alpha6Beta4Integrin', 'P60866', 'Q9BYD6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99871', 'Q8NC56'})"
"frozenset({'P16619', 'Alpha6Beta4Integrin', 'P41597'})"
"frozenset({'P49450', 'Alpha6Beta4Integrin', 'Q16777'})"
"frozenset({'Q71U36', 'P15291', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O96013', 'O00267'})"
"frozenset({'Q9UP83', 'Alpha6Beta4Integrin', 'Q99853'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14204', 'P13010'})"
"frozenset({'P38919', 'Alpha6Beta4Integrin', 'P23396'})"
"frozenset({'Q12788', 'O00567', 'Alpha6Beta4Integrin'})"
"frozenset({'P62993', 'Q15262', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UQK1', 'P62140'})"
"frozenset({'P28070', 'Alpha6Beta4Integrin', 'Q86TM6'})"
"frozenset({'Q969G3', 'Alpha6Beta4Integrin', 'Q9UJX2'})"
"frozenset({'Q9BY41', 'Alpha6Beta4Integrin', 'O15027'})"
"frozenset({'Alpha6Beta4Integrin', 'Q16539', 'P36897'})"
"frozenset({'Alpha6Beta4Integrin', 'P09382', 'Q16082'})"
"frozenset({'Q9H596', 'Alpha6Beta4Integrin', 'O43482'})"
"frozenset({'P51116', 'Alpha6Beta4Integrin', 'Q14444'})"
"frozenset({'Q15077', 'Alpha6Beta4Integrin', 'P60369'})"
"frozenset({'P50148', 'P62330', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N6Y0', 'P47897', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O75665', 'Q86YT6'})"
"frozenset({'Alpha6Beta4Integrin', 'P08238', 'P17735'})"
"frozenset({'Q86X19', 'Alpha6Beta4Integrin', 'P01892'})"
"frozenset({'Alpha6Beta4Integrin', 'P15391', 'P13164'})"
"frozenset({'P30450', 'Alpha6Beta4Integrin', 'Q9Y678'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H4M9', 'P53609'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BU02', 'Q9UH62'})"
"frozenset({'Alpha6Beta4Integrin', 'P52565', 'Q16659'})"
"frozenset({'Q02539', 'Alpha6Beta4Integrin', 'O96013'})"
"frozenset({'P10827', 'Alpha6Beta4Integrin', 'P49908'})"
"frozenset({'P12830', 'Alpha6Beta4Integrin', 'Q14739'})"
"frozenset({'Q6UY14', 'Alpha6Beta4Integrin', 'P60412'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15468', 'Q9Y2Z0'})"
"frozenset({'Alpha6Beta4Integrin', 'P09651', 'Q9Y2Q9'})"
"frozenset({'Alpha6Beta4Integrin', 'P35226', 'Q9H9S0'})"
"frozenset({'Alpha6Beta4Integrin', 'P49368', 'Q9NRC8'})"
"frozenset({'Alpha6Beta4Integrin', 'P10809', 'Q9UKV8'})"
"frozenset({'Q92858', 'Alpha6Beta4Integrin', 'P14136'})"
"frozenset({'Alpha6Beta4Integrin', 'O15084', 'O43390'})"
"frozenset({'P22234', 'Alpha6Beta4Integrin', 'P01889'})"
"frozenset({'Q9UPY6', 'Alpha6Beta4Integrin', 'P61158'})"
"frozenset({'Q9H672', 'Alpha6Beta4Integrin', 'Q15370'})"
"frozenset({'P35244', 'P42166', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15907', 'Q00610'})"
"frozenset({'P05026', 'Alpha6Beta4Integrin', 'P30793'})"
"frozenset({'Alpha6Beta4Integrin', 'Q04637', 'O95405'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BZ23', 'Q9Y6A5'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NYU2', 'O95388'})"
"frozenset({'Q9UDY2', 'Alpha6Beta4Integrin', 'Q7Z7A1'})"
"frozenset({'O60664', 'Alpha6Beta4Integrin', 'Q99536'})"
"frozenset({'Alpha6Beta4Integrin', 'P50222', 'Q13072'})"
"frozenset({'Q3B7T1', 'Q13394', 'Alpha6Beta4Integrin'})"
"frozenset({'P61086', 'Alpha6Beta4Integrin', 'Q15051'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y2Z0', 'Q6VAB6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13177', 'P07948'})"
"frozenset({'Alpha6Beta4Integrin', 'O60502', 'Q6NYC8'})"
"frozenset({'Q16576', 'Alpha6Beta4Integrin', 'P55809'})"
"frozenset({'P01023', 'Alpha6Beta4Integrin', 'P09466'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UQ80', 'Q9UHB9'})"
"frozenset({'P46060', 'Alpha6Beta4Integrin', 'Q9P0U3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NWS0', 'Q3V6T2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q86UQ4', 'Q16775'})"
"frozenset({'O75791', 'Q8WV28', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14CZ7', 'Alpha6Beta4Integrin', 'P13804'})"
"frozenset({'P09038', 'Alpha6Beta4Integrin', 'Q99873'})"
"frozenset({'P04792', 'Alpha6Beta4Integrin', 'Q9UJX3'})"
"frozenset({'P22392', 'Alpha6Beta4Integrin', 'Q8IZL9'})"
"frozenset({'P63104', 'Alpha6Beta4Integrin', 'Q02241'})"
"frozenset({'Alpha6Beta4Integrin', 'P80370', 'P36021'})"
"frozenset({'Q07627', 'Alpha6Beta4Integrin', 'Q8TCT0'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99471', 'P54652'})"
"frozenset({'P04792', 'Alpha6Beta4Integrin', 'A2RRP1'})"
"frozenset({'Alpha6Beta4Integrin', 'P43307', 'Q14676'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7Z7G0', 'Q9P2A4'})"
"frozenset({'O60260', 'Alpha6Beta4Integrin', 'O14818'})"
"frozenset({'P63104', 'Alpha6Beta4Integrin', 'Q13616'})"
"frozenset({'O75554', 'Alpha6Beta4Integrin', 'Q14444'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14527', 'P09622'})"
"frozenset({'Q9BSJ6', 'Alpha6Beta4Integrin', 'Q9Y2D8'})"
"frozenset({'Q9Y2G0', 'Alpha6Beta4Integrin', 'P24071'})"
"frozenset({'Q14257', 'Alpha6Beta4Integrin', 'Q5T6S3'})"
"frozenset({'P04908', 'Alpha6Beta4Integrin', 'Q99880'})"
"frozenset({'P49238', 'Alpha6Beta4Integrin', 'Q13469'})"
"frozenset({'P60369', 'Alpha6Beta4Integrin', 'Q8NDP4'})"
"frozenset({'Q9HAU5', 'O15116', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15369', 'Q9NPF4', 'Alpha6Beta4Integrin'})"
"frozenset({'P32121', 'Alpha6Beta4Integrin', 'Q9BPX5'})"
"frozenset({'P08670', 'Alpha6Beta4Integrin', 'Q9BPY3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q99741', 'O75752'})"
"frozenset({'Q9NTW7', 'Q8WV44', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92530', 'Alpha6Beta4Integrin', 'Q13616'})"
"frozenset({'P61956', 'Alpha6Beta4Integrin', 'Q9UHY7'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H9D4', 'Q14192'})"
"frozenset({'P61970', 'Alpha6Beta4Integrin', 'P30480'})"
"frozenset({'Q8NGK5', 'Alpha6Beta4Integrin', 'O60262'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96MY7', 'Q9BZW7'})"
"frozenset({'Q9NP66', 'Alpha6Beta4Integrin', 'Q96A72'})"
"frozenset({'Q15654', 'Alpha6Beta4Integrin', 'Q9H0W8'})"
"frozenset({'P18583', 'O75533', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6EMK4', 'Alpha6Beta4Integrin', 'Q2TAL6'})"
"frozenset({'P78347', 'Q9NXJ5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15907', 'Alpha6Beta4Integrin', 'P14373'})"
"frozenset({'P62879', 'Alpha6Beta4Integrin', 'Q9BPY3'})"
"frozenset({'Q92769', 'Q9Y618', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UBW7', 'Alpha6Beta4Integrin', 'P22626'})"
"frozenset({'Alpha6Beta4Integrin', 'P50221', 'O15347'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H0I3', 'Q9Y2X7'})"
"frozenset({'P49407', 'Alpha6Beta4Integrin', 'Q8WZ84'})"
"frozenset({'Q92973', 'P35637', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P01375', 'Q9Y5S8'})"
"frozenset({'O43760', 'Q9Y2T5', 'Alpha6Beta4Integrin'})"
"frozenset({'O60266', 'Alpha6Beta4Integrin', 'P08754'})"
"frozenset({'Q9H0D6', 'Alpha6Beta4Integrin', 'Q13616'})"
"frozenset({'O14746', 'Alpha6Beta4Integrin', 'Q9Y265'})"
"frozenset({'Q13257', 'Alpha6Beta4Integrin', 'O00560'})"
"frozenset({'Alpha6Beta4Integrin', 'Q15599', 'Q9BSH4'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14204', 'Q9UBX2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UBQ0', 'O95155'})"
"frozenset({'Alpha6Beta4Integrin', 'P07602', 'O14776'})"
"frozenset({'Alpha6Beta4Integrin', 'P17301', 'P35442'})"
"frozenset({'Q3B820', 'Alpha6Beta4Integrin', 'Q01850'})"
"frozenset({'O75152', 'Alpha6Beta4Integrin', 'P0C7P4'})"
"frozenset({'Q96T91', 'Alpha6Beta4Integrin', 'Q14517'})"
"frozenset({'Alpha6Beta4Integrin', 'P67870', 'P26373'})"
"frozenset({'P62269', 'Alpha6Beta4Integrin', 'P05412'})"
"frozenset({'P05413', 'Alpha6Beta4Integrin', 'O15162'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14181', 'P09884'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NYL9', 'P22736'})"
"frozenset({'Alpha6Beta4Integrin', 'O43143', 'Q14978'})"
"frozenset({'Q99963', 'Alpha6Beta4Integrin', 'Q9C0J8'})"
"frozenset({'P51168', 'Alpha6Beta4Integrin', 'O00141'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H4K1', 'Q8WXE1'})"
"frozenset({'P04183', 'Alpha6Beta4Integrin', 'P05067'})"
"frozenset({'P0CG38', 'Alpha6Beta4Integrin', 'Q9Y4J8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q6NZI2', 'Q96JG6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H4A3', 'P60953'})"
"frozenset({'Q96T76', 'Q99623', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O00116', 'Q8IWL3'})"
"frozenset({'O60573', 'Alpha6Beta4Integrin', 'P04637'})"
"frozenset({'P50991', 'Alpha6Beta4Integrin', 'Q9Y4R7'})"
"frozenset({'Alpha6Beta4Integrin', 'O95166', 'Q9H2M9'})"
"frozenset({'P60709', 'Alpha6Beta4Integrin', 'O15198'})"
"frozenset({'Alpha6Beta4Integrin', 'O95460', 'O00165'})"
"frozenset({'Q9HC73', 'Alpha6Beta4Integrin', 'P01567'})"
"frozenset({'Q969W8', 'Alpha6Beta4Integrin', 'Q99661'})"
"frozenset({'Q13105', 'Alpha6Beta4Integrin', 'P03372'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y572', 'P17844'})"
"frozenset({'Q969T4', 'Alpha6Beta4Integrin', 'Q9C040'})"
"frozenset({'Alpha6Beta4Integrin', 'O75569', 'Q99848'})"
"frozenset({'Q8TDD1', 'Alpha6Beta4Integrin', 'Q96PU5'})"
"frozenset({'Q12907', 'O15031', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8IYR0', 'Q6A162'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14511', 'Q93062'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BYD2', 'Q9UBX3'})"
"frozenset({'Q16718', 'Alpha6Beta4Integrin', 'Q13501'})"
"frozenset({'Alpha6Beta4Integrin', 'P62253', 'Q8NCW5'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BYV2', 'O95995'})"
"frozenset({'Alpha6Beta4Integrin', 'P05067', 'Q92772'})"
"frozenset({'Q92901', 'Alpha6Beta4Integrin', 'P42766'})"
"frozenset({'Q92841', 'Alpha6Beta4Integrin', 'P13010'})"
"frozenset({'Alpha6Beta4Integrin', 'P32780', 'P23193'})"
"frozenset({'Alpha6Beta4Integrin', 'P67809', 'O75127'})"
"frozenset({'Q9H0W9', 'Alpha6Beta4Integrin', 'P14550'})"
"frozenset({'Alpha6Beta4Integrin', 'P67775', 'Q5TA45'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9Y678', 'Q9Y2Q3'})"
"frozenset({'Alpha6Beta4Integrin', 'P29401', 'Q9H1Y0'})"
"frozenset({'Q96C74', 'Alpha6Beta4Integrin', 'Q86UC2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13123', 'Q13573'})"
"frozenset({'Q8IYF3', 'Q96GY3', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13200', 'P0DP23'})"
"frozenset({'Q9UHQ9', 'Alpha6Beta4Integrin', 'O75208'})"
"frozenset({'Q5JTV8', 'Q9UKX7', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P62258', 'O95295'})"
"frozenset({'P07199', 'Alpha6Beta4Integrin', 'P20073'})"
"frozenset({'O95793', 'Alpha6Beta4Integrin', 'Q92616'})"
"frozenset({'Alpha6Beta4Integrin', 'P14136', 'P08727'})"
"frozenset({'P10767', 'P17948', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8ND90', 'Q9H1X1'})"
"frozenset({'Alpha6Beta4Integrin', 'O15078', 'P13807'})"
"frozenset({'Alpha6Beta4Integrin', 'P51677', 'O15444'})"
"frozenset({'Alpha6Beta4Integrin', 'P51668', 'Q9BYM8'})"
"frozenset({'P42331', 'Q9UNK9', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P55884', 'Q9P0L0'})"
"frozenset({'P63104', 'P53779', 'Alpha6Beta4Integrin'})"
"frozenset({'P08670', 'Alpha6Beta4Integrin', 'Q9H040'})"
"frozenset({'Q9BVN2', 'Alpha6Beta4Integrin', 'O75603'})"
"frozenset({'Alpha6Beta4Integrin', 'P55809', 'P04629'})"
"frozenset({'P40337', 'Alpha6Beta4Integrin', 'P23396'})"
"frozenset({'Q96MN9', 'Q08379', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16772', 'Alpha6Beta4Integrin', 'P05067'})"
"frozenset({'Alpha6Beta4Integrin', 'P24928', 'Q6VAB6'})"
"frozenset({'Q8TAP6', 'Q6BDS2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86YV6', 'Alpha6Beta4Integrin', 'P24844'})"
"frozenset({'Alpha6Beta4Integrin', 'O00213', 'P51693'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UKL3', 'P63279'})"
"frozenset({'Q15465', 'Alpha6Beta4Integrin', 'Q4KMG0'})"
"frozenset({'P28066', 'Alpha6Beta4Integrin', 'P51681'})"
"frozenset({'Q16594', 'Alpha6Beta4Integrin', 'Q9UHQ1'})"
"frozenset({'Alpha6Beta4Integrin', 'P22626', 'Q13573'})"
"frozenset({'P40306', 'Q16401', 'Alpha6Beta4Integrin'})"
"frozenset({'Q70SY1', 'P15336', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H814', 'P62826'})"
"frozenset({'P55072', 'P51398', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P25205', 'Q9H0W5'})"
"frozenset({'Q9HCH5', 'Alpha6Beta4Integrin', 'Q8TCJ0'})"
"frozenset({'Alpha6Beta4Integrin', 'O75438', 'P22612'})"
"frozenset({'Q00987', 'P81605', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99729', 'Alpha6Beta4Integrin', 'P62633'})"
"frozenset({'Q9H2X6', 'Alpha6Beta4Integrin', 'Q00987'})"
"frozenset({'P31323', 'Q96C28', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NR11', 'P45973', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q12834', 'Q9Y6D9'})"
"frozenset({'Q15555', 'Q00613', 'Alpha6Beta4Integrin'})"
"frozenset({'P51116', 'Alpha6Beta4Integrin', 'Q9P270'})"
"frozenset({'Q9UJX4', 'Alpha6Beta4Integrin', 'P29083'})"
"frozenset({'O75131', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Alpha6Beta4Integrin', 'O75530', 'Q6ZN18'})"
"frozenset({'Alpha6Beta4Integrin', 'P35222', 'Q96QZ7'})"
"frozenset({'Q96EP1', 'Alpha6Beta4Integrin', 'Q13315'})"
"frozenset({'P17612', 'Alpha6Beta4Integrin', 'O43524'})"
"frozenset({'P31689', 'Alpha6Beta4Integrin', 'Q9Y266'})"
"frozenset({'Q99732', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Q9NQU5', 'Alpha6Beta4Integrin', 'O43639'})"
"frozenset({'Alpha6Beta4Integrin', 'P62136', 'O00305'})"
"frozenset({'Alpha6Beta4Integrin', 'P18075', 'O14498'})"
"frozenset({'Q9GZQ8', 'Q9GZZ9', 'Alpha6Beta4Integrin'})"
"frozenset({'P03915', 'Alpha6Beta4Integrin', 'Q9UI09'})"
"frozenset({'P06493', 'Alpha6Beta4Integrin', 'Q5TB30'})"
"frozenset({'P62269', 'Alpha6Beta4Integrin', 'Q9Y262'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13554', 'Q02641'})"
"frozenset({'Q01094', 'Alpha6Beta4Integrin', 'Q09028'})"
"frozenset({'Alpha6Beta4Integrin', 'O95166', 'P62258'})"
"frozenset({'Q9BRK4', 'Alpha6Beta4Integrin', 'Q96PF2'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NRM7', 'Q8IUQ4'})"
"frozenset({'P52435', 'Alpha6Beta4Integrin', 'Q01826'})"
"frozenset({'P18564', 'P12110', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P55157', 'Q8TEW0'})"
"frozenset({'Q14011', 'P51003', 'Alpha6Beta4Integrin'})"
"frozenset({'P27361', 'Alpha6Beta4Integrin', 'P49790'})"
"frozenset({'O00488', 'Alpha6Beta4Integrin', 'P45974'})"
"frozenset({'Q96LA8', 'Alpha6Beta4Integrin', 'Q8TE85'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UPT9', 'O75618'})"
"frozenset({'Alpha6Beta4Integrin', 'P19438', 'P62979'})"
"frozenset({'Q06323', 'Alpha6Beta4Integrin', 'P16871'})"
"frozenset({'Q969G2', 'Alpha6Beta4Integrin', 'Q2WGJ6'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8WYQ5', 'Q9NRR4'})"
"frozenset({'P49750', 'P62136', 'Alpha6Beta4Integrin'})"
"frozenset({'P54277', 'Alpha6Beta4Integrin', 'Q99996'})"
"frozenset({'P60520', 'Alpha6Beta4Integrin', 'Q13595'})"
"frozenset({'O00541', 'Alpha6Beta4Integrin', 'Q7Z2W4'})"
"frozenset({'Q86WN2', 'Alpha6Beta4Integrin', 'P42701'})"
"frozenset({'P0CG38', 'Alpha6Beta4Integrin', 'O94907'})"
"frozenset({'O75533', 'Alpha6Beta4Integrin', 'P02751'})"
"frozenset({'Alpha6Beta4Integrin', 'P25774', 'Q07817'})"
"frozenset({'Q9Y6H1', 'Alpha6Beta4Integrin', 'P00519'})"
"frozenset({'Q16663', 'P49238', 'Alpha6Beta4Integrin'})"
"frozenset({'P14923', 'Alpha6Beta4Integrin', 'O94782'})"
"frozenset({'O00139', 'Alpha6Beta4Integrin', 'O00444'})"
"frozenset({'Q12815', 'Alpha6Beta4Integrin', 'O43482'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H343', 'O60262'})"
"frozenset({'P06493', 'Alpha6Beta4Integrin', 'P09884'})"
"frozenset({'O75436', 'Q14671', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P43694', 'P52952'})"
"frozenset({'Alpha6Beta4Integrin', 'P29350', 'Q02556'})"
"frozenset({'Alpha6Beta4Integrin', 'P49411', 'P62750'})"
"frozenset({'Q9Y570', 'Alpha6Beta4Integrin', 'Q93052'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NW13', 'Q9BYG3'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UKF6', 'Q9NRC8'})"
"frozenset({'Q92973', 'P04626', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q96NL6', 'Q9H3R5'})"
"frozenset({'Alpha6Beta4Integrin', 'P62910', 'Q14562'})"
"frozenset({'Q13409', 'Alpha6Beta4Integrin', 'Q9BVA1'})"
"frozenset({'Q9UJW3', 'Alpha6Beta4Integrin', 'Q9Y6K1'})"
"frozenset({'Q9UM54', 'P24941', 'Alpha6Beta4Integrin'})"
"frozenset({'O60518', 'Q92973', 'Alpha6Beta4Integrin'})"
"frozenset({'P26640', 'Alpha6Beta4Integrin', 'Q8NA72'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H4L5', 'P31947'})"
"frozenset({'Q96A08', 'Alpha6Beta4Integrin', 'Q9C0C9'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14197', 'O95900'})"
"frozenset({'Alpha6Beta4Integrin', 'P01891', 'Q93084'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BPX5', 'Q99961'})"
"frozenset({'P01111', 'Alpha6Beta4Integrin', 'P41182'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13200', 'Q16401'})"
"frozenset({'Alpha6Beta4Integrin', 'P21781', 'P09619'})"
"frozenset({'Alpha6Beta4Integrin', 'P46087', 'Q15050'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13352', 'Q9BRK5'})"
"frozenset({'Q7Z6Z7', 'Alpha6Beta4Integrin', 'O43920'})"
"frozenset({'Q71U36', 'Alpha6Beta4Integrin', 'Q9Y3F4'})"
"frozenset({'Q13561', 'Alpha6Beta4Integrin', 'Q7Z2T5'})"
"frozenset({'Q03001', 'Alpha6Beta4Integrin', 'Q15327'})"
"frozenset({'O43660', 'Alpha6Beta4Integrin', 'Q96CW1'})"
"frozenset({'P22694', 'Alpha6Beta4Integrin', 'Q8NGL3'})"
"frozenset({'Alpha6Beta4Integrin', 'P53396', 'Q9NRC8'})"
"frozenset({'Q9NPJ6', 'Alpha6Beta4Integrin', 'P24539'})"
"frozenset({'Q96FI4', 'Alpha6Beta4Integrin', 'P39748'})"
"frozenset({'Alpha6Beta4Integrin', 'P68363', 'O14980'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8TCJ0', 'P63208'})"
"frozenset({'O95218', 'Alpha6Beta4Integrin', 'Q9HA65'})"
"frozenset({'P16473', 'Alpha6Beta4Integrin', 'P11021'})"
"frozenset({'P07237', 'P63104', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P0DP23', 'O60333'})"
"frozenset({'Q9UNF1', 'Alpha6Beta4Integrin', 'P53396'})"
"frozenset({'Q96FJ2', 'Q9NWQ9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UM13', 'P84022', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UBW7', 'Q9H4B7'})"
"frozenset({'Q96L33', 'Alpha6Beta4Integrin', 'Q9H0H5'})"
"frozenset({'Q9BYQ4', 'Alpha6Beta4Integrin', 'Q9BYR0'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92614', 'O75083'})"
"frozenset({'Alpha6Beta4Integrin', 'P20073', 'P13378'})"
